step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,3,0.1038,1.0,1557,0.06904910429610729,1234,0.03745395681189358,13616,22961
2,4,0.2034,1.0,1494,0.037235110307830416,2420,0.024228055664341944,22386,38840
3,31,0.29886666666666667,1.0004461298237788,1432,0.028188976846543513,3543,0.015918501273052624,38158,66910
4,14,0.3692666666666667,1.0534392489619064,1056,0.026802217665173832,4354,0.01543616996664949,44165,79211
5,5,0.43533333333333335,1.0926493108728943,991,0.016422474139354534,5142,0.013681662173421844,48793,88045
6,37,0.4928666666666667,1.1101041525767619,863,0.011618584140543987,5856,0.01238993170702001,53914,98489
7,2,0.5410666666666667,1.163257762444554,723,0.010348619972885467,6408,0.011689316608908599,53011,97885
8,38,0.5821333333333333,1.1851809436555198,616,0.009156518328615054,6876,0.010628661296964433,57479,107406
9,30,0.6177333333333334,1.2327865314051372,534,0.008386456544029662,7300,0.01046368455944317,57893,109371
10,29,0.653,1.2968861664114344,529,0.007959335057750165,7726,0.010582102065780714,58483,111098
11,12,0.6852666666666667,1.3533417647631092,484,0.007562514832472417,8112,0.010056886337532036,57711,110297
12,34,0.7038666666666666,1.4376775904527372,279,0.007375134298959191,8324,0.010047700540876219,57604,110791
