step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,2,0.0852,1.0,1278,0.11404068721400641,1072,0.0670438266266252,16571,29642
2,22,0.1558,1.0,1059,0.07662602375601127,1971,0.030277240169746276,32196,57753
3,37,0.22273333333333334,1.009877282250823,1004,0.04675380484489164,2820,0.018288731829522748,46579,83611
4,36,0.2816,1.0213068181818181,883,0.041384684926195354,3534,0.016464211565918173,60129,109262
5,6,0.3394666666666667,1.032600157109191,868,0.03599752097128656,4264,0.01501595075348279,69650,128087
6,26,0.3930666666666667,1.0432496607869741,804,0.02519332280457228,4958,0.014170012524276524,73111,135809
7,24,0.4378,1.050555809349779,671,0.019173407976368392,5533,0.014057406599414957,76327,143463
8,12,0.4819333333333333,1.0669525522202241,662,0.01634744997106802,6089,0.013178251598233938,79356,150313
9,35,0.5254666666666666,1.1105049479827456,653,0.013518937958963619,6640,0.012558153089977785,82653,157077
10,9,0.5627333333333333,1.1301978438573628,559,0.012597294583055783,7109,0.012155935505336083,81259,154263
11,25,0.5999333333333333,1.1364596066229582,558,0.011554298410216029,7557,0.012123549138717573,82903,158105
12,21,0.6338666666666667,1.1589188052166597,509,0.010394284803295111,7981,0.011990900205401797,81757,156287
