step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,2,0.0852,1.0,1278,0.11376981070655867,1072,0.06682033344671819,16571,29642
2,22,0.1558,1.0,1059,0.07690700402991671,1971,0.03013337402903203,32196,57753
3,37,0.22273333333333334,1.009877282250823,1004,0.04680697695612831,2820,0.018098213397442258,46579,83611
4,36,0.2816,1.0213068181818181,883,0.04105444385334735,3534,0.0164770026780799,60129,109262
5,6,0.3394666666666667,1.032600157109191,868,0.035601450482788705,4264,0.015027970420464457,69650,128087
6,26,0.3930666666666667,1.0432496607869741,804,0.026038504933551733,4958,0.014160733251862866,73111,135809
7,10,0.4050666666666667,1.2039170506912442,180,0.02586665229414395,5093,0.014395125074618438,75220,140083
8,14,0.42173333333333335,1.3182105595953209,250,0.025188158562208265,5293,0.014666567125233912,75304,140272
9,39,0.4381333333333333,1.4211807668898357,246,0.024674089395211374,5500,0.014596148802871033,77345,143652
10,5,0.44813333333333333,1.5608449866111276,150,0.023787601163307318,5625,0.014703181306803894,78867,147184
11,0,0.4574,1.690424136423262,139,0.023881798751811366,5743,0.014783750479650064,79245,148202
12,31,0.46626666666666666,1.7760937946811552,133,0.02357252266856046,5846,0.014908834584041783,79889,149414
