step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,37,0.06913333333333334,1.0,1037,0.13117405318994244,870,0.05651811602696622,15247,26639
2,24,0.11833333333333333,1.0056338028169014,738,0.07305373911494055,1494,0.03535277588909384,27596,49644
3,26,0.17746666666666666,1.0060105184072126,887,0.055080175045955665,2248,0.025622559913096078,40319,72871
4,35,0.23626666666666668,1.049097065462754,882,0.041106725334402565,3012,0.02062674982607729,50340,91846
5,20,0.2740666666666667,1.0445147166139626,567,0.03527444910299911,3499,0.017822108548613186,64330,119365
6,30,0.3108,1.106177606177606,551,0.029609924619386937,3955,0.016706247848716486,67267,124868
7,32,0.3363333333333333,1.1900891972249752,383,0.029204905965542,4276,0.016874582276624833,68028,126295
8,7,0.385,1.2303030303030302,730,0.024418992611668904,4878,0.014571518423016332,74372,137969
9,1,0.44326666666666664,1.2228906602496616,874,0.019332345021547594,5610,0.013394856990185309,79458,149416
10,11,0.4619333333333333,1.2830134218501947,280,0.018973440373548228,5846,0.013853610247916537,82176,155272
11,10,0.48406666666666665,1.3846577606390305,332,0.018437301905000217,6117,0.013950678469226013,82964,157085
12,34,0.5134,1.4207245812232177,440,0.01727867847655981,6482,0.013373729354789636,82573,156566
