step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,0,0.07373333333333333,1.0,1106,0.13162598972027825,930,0.07649702724211763,16649,29725
2,5,0.108,1.3938271604938273,514,0.11407018292132312,1365,0.061955653001530706,24798,44815
3,2,0.12666666666666668,1.8610526315789473,280,0.09873443018794467,1594,0.049352736552824086,27810,49962
4,10,0.13773333333333335,2.2749273959341725,166,0.09736615471529093,1729,0.046750483478081535,33242,59928
5,7,0.1564,2.472719522591645,280,0.09005223717616316,1990,0.040419426041996886,38231,68302
6,15,0.16253333333333334,2.7538966365873665,92,0.09116067512685792,2063,0.03800169560931839,39665,71288
7,3,0.183,2.754462659380692,307,0.0828451891487514,2316,0.02861008964133141,45238,81855
8,1,0.208,2.75224358974359,375,0.07687294157504455,2635,0.027141578533434817,47668,86390
9,6,0.22973333333333334,2.765815438189205,326,0.07084250771522216,2917,0.02540954357593747,50725,92113
10,11,0.24366666666666667,2.8153214774281805,209,0.0660807884211827,3093,0.025681154020811905,54403,99252
11,18,0.2627333333333333,2.8459781781273787,286,0.06158556826294947,3338,0.024998499268378778,56211,103035
12,13,0.27873333333333333,2.8780196125328867,240,0.06002715735398113,3542,0.024944199219220524,57979,106645
