step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,11,0.1014,1.0,1521,0.10063308502338432,1235,0.04179477412410547,13893,24246
2,4,0.2008,1.000996015936255,1491,0.05093617874998307,2386,0.026765228819738807,23333,41544
3,18,0.2926,1.003189792663477,1377,0.03236816199331268,3494,0.01739693477266279,36497,65065
4,5,0.3641333333333333,1.0470523617722447,1073,0.022288004817663132,4315,0.015299485421846098,40384,72834
5,30,0.4294,1.0619469026548674,979,0.019517337326701613,5098,0.013228923635909783,47699,87196
6,39,0.4849333333333333,1.113692603794336,833,0.01230510869949312,5738,0.011859603213214082,52277,96449
7,7,0.5316,1.18510158013544,700,0.010936230058224864,6323,0.010974418663878688,53757,100287
8,29,0.5742,1.2460234529200047,639,0.010013328646269483,6808,0.011166841863212802,56842,107426
9,1,0.6131333333333333,1.3147765575731216,584,0.00909359090027444,7266,0.010886066212097548,57156,108360
10,2,0.6422666666666667,1.3917375960141167,437,0.008601098792516932,7600,0.010642186943418685,56145,107063
11,3,0.6637333333333333,1.4932703897147448,322,0.00828323033067156,7849,0.010410886349131857,56343,107583
12,9,0.6852,1.5884413309982486,322,0.008099695932468023,8085,0.010655031052670905,57298,109936
