step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,4,0.1026,1.0,1539,0.08863317225138244,1227,0.04694252235693553,10918,18863
2,3,0.20373333333333332,1.0,1517,0.0418191601557316,2427,0.024402751725282945,22386,38840
3,31,0.29773333333333335,1.0013434841021047,1410,0.02997431936262413,3536,0.016041733042577742,38158,66910
4,19,0.36746666666666666,1.054789550072569,1046,0.028510331219487355,4329,0.015439336720213505,44608,80687
5,5,0.4335333333333333,1.0871905274488698,991,0.017448790650762373,5166,0.013606346068220861,49077,89106
6,29,0.4848,1.1523652365236523,769,0.013524322975267544,5720,0.013330958613051868,52337,95901
7,7,0.5336666666666666,1.2252342286071205,733,0.01146810294572411,6291,0.012172466067942266,54538,101032
8,30,0.5785333333333333,1.251094722286241,673,0.010122826713845401,6828,0.011615532892902911,58615,109841
9,39,0.6146666666666667,1.329826464208243,542,0.009092643517422661,7235,0.011290351231816513,58792,111382
10,2,0.6464,1.3906765676567656,476,0.008486150926768297,7609,0.011085547287024277,57897,110216
11,38,0.6723333333333333,1.4268715914724839,389,0.0076261460515004535,7912,0.010656673446210631,57778,110838
12,9,0.6961333333333334,1.5134073932196896,357,0.00748754820527196,8190,0.01078922978318217,58562,112759
