step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,4,0.1026,1.0,1539,0.0886729264919724,1227,0.04691299350080778,10918,18863
2,3,0.20373333333333332,1.0,1517,0.041961955962053515,2427,0.024335679524683275,22386,38840
3,31,0.29773333333333335,1.0013434841021047,1410,0.02981010854675009,3536,0.01603379098544185,38158,66910
4,19,0.36746666666666666,1.054789550072569,1046,0.027838342506872542,4329,0.015432491953927673,44608,80687
5,5,0.4335333333333333,1.0871905274488698,991,0.017116478192956724,5166,0.013603104452309299,49077,89106
6,7,0.4835333333333333,1.1716531090583207,750,0.012412441809023934,5721,0.012265018196438533,51552,94629
7,29,0.5336666666666666,1.2252342286071205,752,0.011343024171344633,6291,0.012084920062275144,54538,101032
8,39,0.5740666666666666,1.3020555103936824,606,0.01033817923687792,6753,0.011698548492124431,56024,105068
9,9,0.606,1.3888888888888888,479,0.010009635389751161,7134,0.011846787738852945,57862,109401
10,2,0.6377333333333334,1.4476270123353543,476,0.009306085975218257,7508,0.01154990568495174,56992,108389
11,1,0.6534666666666666,1.5597837176086513,236,0.009178853593531103,7693,0.011302267323384425,56643,107480
12,11,0.6564666666666666,1.7068142581496903,45,0.009167173263961607,7723,0.011435037985838427,56821,108082
