step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,37,0.06873333333333333,1.0,1031,0.059518259901196226,818,0.04621714854546063,10878,18513
2,24,0.13653333333333334,1.09912109375,1017,0.05147978124424836,1611,0.03675023324338629,16852,29658
3,26,0.2058,1.1460965338516358,1039,0.04096714423838557,2435,0.024563416111395495,27349,48533
4,35,0.25146666666666667,1.2038706256627785,685,0.03326135271546759,2988,0.021099534196227836,35259,63318
5,20,0.30593333333333333,1.2259751579864895,817,0.031116478806608172,3643,0.017728053149518475,43882,80229
6,30,0.3408,1.3057511737089202,523,0.026455341846473843,4057,0.016716595568038135,45110,82973
7,32,0.34526666666666667,1.4863873334620583,67,0.026256760400738433,4108,0.01658822208058927,45080,83056
8,7,0.4014666666666667,1.5154433742942544,843,0.02122275727952802,4783,0.013543799065747417,50280,93343
9,1,0.49366666666666664,1.4270087778528022,1383,0.013690367589129528,5873,0.012087540850327847,56905,106620
10,11,0.5298666666666667,1.520508303975843,543,0.012851925822803003,6308,0.012444394387075583,57773,109213
11,10,0.5572,1.6079205551567362,410,0.010856958685959667,6627,0.011690406133484208,58895,112061
12,34,0.5782,1.6930704485183905,315,0.010725526626852583,6854,0.01162097478146992,58713,112380
