step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,0,0.07726666666666666,1.0,1159,0.08683294367560553,904,0.0644254201011444,8972,15455
2,3,0.1392,1.2816091954022988,929,0.04826127582402265,1649,0.03341311158294188,16062,27538
3,8,0.17066666666666666,1.55703125,472,0.041225690988179346,2018,0.02988806454711001,19610,34320
4,11,0.21453333333333333,1.7103791174642635,658,0.03754469262448645,2526,0.02663215587475703,23693,42479
5,19,0.24313333333333334,1.8771593090211132,429,0.03388312009091185,2867,0.02535152563692325,26667,48409
6,6,0.27093333333333336,2.05757874015748,417,0.0324519847253554,3204,0.02392889689758834,28315,51605
7,1,0.3086,2.1177360120976454,565,0.02846507505593937,3645,0.022253683112019355,30545,55732
8,14,0.32666666666666666,2.2720408163265304,271,0.027187510788033237,3858,0.021771388599442085,32096,58811
9,9,0.35433333333333333,2.360489181561618,415,0.025271092031306643,4182,0.020776665027286534,34262,63044
10,4,0.38993333333333335,2.4081039493930585,534,0.021762096048887354,4595,0.01932999969472094,36005,66351
11,16,0.4028,2.5392254220456802,193,0.020942238871318367,4749,0.019135893897478856,37637,69509
12,24,0.41046666666666665,2.6899464024687347,115,0.020522800552650274,4835,0.01906249596420733,38450,71022
