step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,2,0.08933333333333333,1.0,1340,0.1117598203765286,1124,0.06756327345016606,16571,29642
2,37,0.1618,1.0144210960032962,1087,0.07036785001199496,2033,0.026632268567116237,32234,57088
3,22,0.23,1.010144927536232,1023,0.046225134417120686,2914,0.01802583409881883,46579,83611
4,26,0.2876666666666667,1.016685979142526,865,0.033907604730238135,3622,0.015856458458867732,54939,99938
5,1,0.3428,1.0618436406067677,827,0.029803595550615812,4310,0.014426468619606083,60748,111223
6,36,0.3938,1.0727949889961064,765,0.026888062427397955,4949,0.013821663030875234,69532,128477
7,24,0.4448666666666667,1.0663869324142066,766,0.019344192185267416,5590,0.013570788284570858,75080,140563
8,35,0.48906666666666665,1.1150490730643403,663,0.016905793345457054,6158,0.012927001386518916,79601,149615
9,12,0.5323333333333333,1.1262366938008765,649,0.014054644395691212,6711,0.012328802915882954,82665,156857
10,9,0.5667333333333333,1.1493941889189507,516,0.01279163022973084,7147,0.012054538335550428,80390,152126
11,21,0.5988,1.174682698730795,481,0.011545989841377582,7544,0.011827236358181729,80158,152132
12,25,0.6318666666666667,1.180523317155518,496,0.010471843284358844,7961,0.011831224552114607,81744,155844
