step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,2,0.085,1.0,1275,0.10997857618654888,1082,0.06766631478778214,16571,29642
2,37,0.15626666666666666,1.0132252559726962,1069,0.06972389172608202,1986,0.026360558536360712,32234,57088
3,22,0.22313333333333332,1.0092620256946518,1003,0.04457962515619873,2821,0.01806589461647505,46579,83611
4,26,0.2803333333333333,1.0164090368608798,858,0.032925940017405356,3568,0.015843863628699897,54939,99938
5,6,0.336,1.0303571428571427,835,0.028914428377284244,4274,0.014860008342531934,64358,118640
6,24,0.3866,1.0356958096223488,759,0.02207667619375391,4894,0.014766015716587824,67599,126330
7,36,0.4371333333333333,1.0497178587768796,758,0.019161606011553353,5545,0.0141100768113035,76327,143463
8,35,0.4826666666666667,1.099171270718232,683,0.01643121642337576,6121,0.01335559178459532,79903,150468
9,12,0.5278666666666667,1.1110128820409195,678,0.013816722368347783,6697,0.012584367794726825,82653,157077
10,9,0.5644,1.135719347980156,548,0.012088165102464733,7164,0.01210804541802052,81259,154263
11,25,0.5976,1.141677822400714,498,0.011505041168503797,7590,0.012123472528209021,82903,158105
12,21,0.6302,1.1632286046757643,489,0.010156013889440344,7999,0.012033509164084206,81757,156287
