step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,2,0.085,1.0,1275,0.11074326504602602,1082,0.06706790019907669,16571,29642
2,37,0.15626666666666666,1.0132252559726962,1069,0.06956165869527428,1986,0.02615509109206643,32234,57088
3,22,0.22313333333333332,1.0092620256946518,1003,0.0446205143165384,2821,0.01815004802019787,46579,83611
4,1,0.2786666666666667,1.0626794258373207,833,0.03954001300150194,3526,0.016300864048247758,52828,95583
5,26,0.33586666666666665,1.0595474394601032,858,0.02891839540791939,4284,0.014455088697654876,60748,111223
6,35,0.3814,1.1209578744974655,683,0.026384938944826585,4867,0.013434395477509393,66620,122349
7,24,0.4348,1.1079423489727078,801,0.019009240343523876,5513,0.013245866781360442,71571,133612
8,36,0.48533333333333334,1.1130494505494506,758,0.016407201373059614,6160,0.013009438730098837,79601,149615
9,12,0.5302666666666667,1.12421423183304,674,0.01357318522401918,6733,0.0122402785828656,82665,156857
10,9,0.5646666666666667,1.1523022432113341,516,0.012542578814434246,7166,0.011981434510294483,80390,152126
11,34,0.5924,1.204028809363043,416,0.011564905561949518,7493,0.011642976950554225,80028,151439
12,5,0.6073333333333333,1.302305159165752,224,0.011146222874311055,7684,0.011757989526293079,80928,153482
