step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,37,0.07333333333333333,1.0,1100,0.13194769685138913,927,0.05610701955337209,15247,26639
2,24,0.127,1.004199475065617,805,0.07403985851015013,1602,0.03514626565556037,27596,49644
3,26,0.18653333333333333,1.0039313795568263,893,0.05407718982416258,2397,0.025524316211336485,40319,72871
4,35,0.24553333333333333,1.0545750746673908,885,0.04152600568836043,3132,0.020570898457289353,50340,91846
5,20,0.2813333333333333,1.0485781990521328,537,0.03552898447527267,3597,0.01772739678684556,64330,119365
6,30,0.3134,1.1055094660710487,481,0.029327997479811237,3983,0.016807686670687532,67267,124868
7,32,0.33626666666666666,1.2030134813639968,343,0.028734542440333917,4261,0.016767734759088278,68028,126295
8,7,0.3906,1.2343403311145247,815,0.02481039983584309,4918,0.014637943546239051,74372,137969
9,1,0.45006666666666667,1.2288549844467487,892,0.01904379693968644,5662,0.013416178090971186,79458,149416
10,11,0.4663333333333333,1.2816297355253752,244,0.018738069138385376,5871,0.013925667253466119,82176,155272
11,10,0.4876,1.3789991796554553,319,0.018348268838195285,6145,0.013968229813135183,82964,157085
12,34,0.5180666666666667,1.4187363273709948,457,0.016969545582406705,6515,0.013472985125556742,82573,156566
