step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,0,0.07406666666666667,1.0,1111,0.13372741434828112,950,0.07749735914867152,16649,29725
2,5,0.10986666666666667,1.3810679611650485,537,0.11662882257904315,1396,0.061415422688215114,24798,44815
3,2,0.1294,1.8294693456980937,293,0.0965765083496331,1650,0.049477513369430515,27810,49962
4,10,0.13806666666666667,2.2559150169000484,130,0.09519447384468653,1752,0.04628119257539229,33242,59928
5,7,0.1588,2.450041981528128,311,0.08988330478725619,1987,0.04104810045009069,38231,68302
6,3,0.1764,2.5200302343159486,264,0.08239270345324813,2210,0.029374993442751816,43809,78895
7,1,0.20373333333333332,2.5301047120418847,410,0.0762958484485254,2548,0.027576658163549705,46147,83252
8,6,0.22413333333333332,2.573170731707317,306,0.06953793009264748,2804,0.02570153535455702,49210,88937
9,15,0.2306,2.7687192830297773,97,0.0690590379090393,2886,0.025309193077483694,50725,92113
10,14,0.2656,2.649347389558233,525,0.06170228577291194,3340,0.024190933072491132,55179,100688
11,19,0.2886666666666667,2.6263279445727483,346,0.05328911411974303,3631,0.02372576727212642,58303,107275
12,18,0.30866666666666664,2.6576673866090714,300,0.04886089487775215,3886,0.022885708673562693,60092,111095
