step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,18,0.11133333333333334,1.0,1670,0.05517314111863692,1335,0.03705309700336535,12693,22020
2,6,0.22053333333333333,1.0045344619105199,1638,0.03511409055720431,2659,0.019590757062840972,27936,49245
3,39,0.3008,1.0179521276595744,1204,0.025585218774848022,3591,0.01466739444804251,34531,61439
4,7,0.3786,1.0811762634266597,1167,0.02246190422023553,4545,0.013892030614614578,39910,73120
5,9,0.43073333333333336,1.159108497136666,782,0.01593842556000287,5175,0.012366733375285226,42550,78186
6,24,0.4799333333333333,1.2318377552437838,738,0.015470608661719953,5737,0.011540206412059651,47186,88095
7,30,0.5272,1.2228123419322205,709,0.010722016655094419,6311,0.010452905085205123,50036,94464
8,29,0.5629333333333333,1.2571056371387967,536,0.009400483975533678,6755,0.009846520673915435,50567,96004
9,26,0.5872,1.3611489554950045,364,0.008978716642613545,7024,0.009462177737207533,50408,96147
10,1,0.6102,1.4753632688735934,345,0.008502545811673406,7293,0.009448328639140687,50423,96982
11,38,0.6310666666666667,1.541517008240017,313,0.008303331411131102,7543,0.009333759350591551,50618,97731
12,12,0.6500666666666667,1.6135780945544047,285,0.008018455904016689,7763,0.009245025338925381,49894,96796
