step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,18,0.11486666666666667,1.0,1723,0.0545636683718581,1380,0.037616116860596224,12693,22020
2,14,0.2242,1.0008920606601248,1640,0.032458410816552326,2697,0.017566496712986903,27890,48630
3,7,0.29886666666666667,1.076288199866161,1120,0.02910029519040701,3579,0.017070458375944793,33663,60988
4,39,0.37406666666666666,1.0753876314382462,1128,0.020267688165557757,4463,0.013239232879151006,39935,72716
5,1,0.42686666666666667,1.186162736217398,792,0.018943355696634967,5070,0.012544250595058086,42341,78342
6,24,0.47613333333333335,1.2573508821058528,739,0.018243683010688527,5636,0.01181203362553605,46618,87520
7,30,0.5267333333333334,1.241868117959752,759,0.013381042567279462,6264,0.010583055321714899,50533,95958
8,26,0.5582,1.336557983996178,472,0.011075564985933976,6618,0.010083453360883158,50748,96590
9,9,0.5908666666666667,1.421866185264583,490,0.008976247332575842,6999,0.009639606350803366,50103,95832
10,38,0.6131333333333333,1.489398716972926,334,0.00876585355812435,7250,0.009705711190387356,50574,97184
11,15,0.6206,1.6412074336663445,112,0.00872462739000688,7338,0.010008337527796864,50850,98013
12,34,0.6388,1.7235441452723856,273,0.008413418005926716,7546,0.00982428279632119,50787,98056
