step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,37,0.06966666666666667,1.0,1045,0.06402096646794463,851,0.04325176133179674,10533,17955
2,24,0.1524,1.062992125984252,1241,0.04012578362521003,1834,0.025850581910755243,19835,34941
3,26,0.243,1.0449931412894375,1359,0.029022316594501312,2933,0.01736170692191321,27897,49193
4,35,0.2812,1.1017069701280227,573,0.022623007309697987,3377,0.015359738171105638,32767,58367
5,20,0.35213333333333335,1.1145399469897765,1064,0.01784416449008058,4242,0.01184737887117538,42197,75804
6,30,0.3837333333333333,1.167303683113273,474,0.015328915116563804,4599,0.011333460908617062,43793,79352
7,32,0.3898,1.3355566957414058,91,0.015183673178437626,4667,0.01130237217646212,44309,80407
8,7,0.4275333333333333,1.445189458911586,566,0.014069794926040474,5103,0.010966000447142464,46740,85494
9,1,0.5077333333333334,1.421875,1203,0.011762691784018895,6045,0.010055618499822366,50027,94240
10,11,0.5258666666666667,1.5609787018255579,272,0.011622924621689207,6248,0.010414710637589586,50858,96215
11,10,0.5520666666666667,1.6751600048303346,393,0.01120783521156913,6546,0.010477392876975567,51668,98693
12,34,0.5715333333333333,1.7623935611804502,292,0.010882371041129768,6781,0.010313790081657379,51257,98051
