step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,0,0.04733333333333333,1.0,710,0.057151093453508786,565,0.03485720252298256,11093,18016
2,3,0.104,1.1961538461538461,850,0.044165155484861884,1274,0.02919814495525238,17581,30282
3,11,0.1556,1.4353041988003428,774,0.04092846657252245,1867,0.028215462806046827,20595,36683
4,19,0.16746666666666668,1.8542993630573248,178,0.040399769210831854,2000,0.025851907039407613,22763,41025
5,6,0.19833333333333333,2.110924369747899,463,0.03701770513890333,2358,0.02559808374080803,23641,42980
6,14,0.2162,2.4431082331174836,268,0.03428869401375066,2574,0.022776188046059194,25129,45717
7,1,0.2482,2.5474080042976093,480,0.031415863589735055,2935,0.02259825763667402,25532,46480
8,24,0.27013333333333334,2.6823790720631786,329,0.030003856451942472,3194,0.019362991662650788,28027,50941
9,16,0.2783333333333333,2.9082634730538923,123,0.029863152393317813,3289,0.01889443533854218,28444,51792
10,9,0.3108666666666667,2.9064979626849667,488,0.025694251573985857,3708,0.017600899006006736,29972,54816
11,22,0.3347333333333333,2.9599681338378807,358,0.022676902437249836,3991,0.0165277945219946,31012,56852
12,8,0.3410666666666667,3.076622361219703,95,0.022564681469843927,4072,0.016154127397556634,32019,58714
